execution_date,symbol,shares,market_value_at_open
2021-12-01,SH600643,15900,97956.68935775757
2021-12-01,SH600668,7900,98115.16780853271
2021-12-01,SH600707,14100,98531.37030601501
2021-12-01,SH600746,7500,97484.74359512329
2021-12-01,SH600966,10000,97943.91632080078
2021-12-01,SH601000,44300,98375.26841163635
2021-12-01,SZ000581,5000,96838.66500854492
2021-12-01,SZ000725,21800,98347.16310501099
2021-12-01,SZ000883,22300,98384.48839187622
2021-12-01,SZ000949,16600,98064.68648910522
2021-12-01,SZ002022,6900,97231.78625106812
2021-12-01,SZ002109,18600,98504.86392974854
2021-12-01,SZ002322,8400,98534.16709899902
2021-12-01,SZ002382,6300,98445.47882080078
2021-12-01,SZ002469,17600,98281.05392456055
2021-12-01,SZ002774,13200,98212.79697418213
2021-12-01,SZ300259,21200,98284.17377471924
2021-12-01,SZ300677,1900,98397.00088500977
2022-01-04,SH600097,9300,103996.84982299805
2022-01-04,SH600512,32100,103998.58946800232
2022-01-04,SH600643,16200,103947.0311164856
2022-01-04,SH600668,5300,102964.62669372559
2022-01-04,SH600694,5900,102831.73522949219
2022-01-04,SH600707,15200,103676.40380859375
2022-01-04,SH600746,8400,103721.58622741699
2022-01-04,SH600966,10400,104272.36404418945
2022-01-04,SH601000,42800,104093.9130783081
2022-01-04,SH688068,1300,98143.25561523438
2022-01-04,SZ000581,5200,102668.46008300781
2022-01-04,SZ000725,22100,104018.97292137146
2022-01-04,SZ000949,19100,104131.85477256775
2022-01-04,SZ002064,10500,103539.36910629272
2022-01-04,SZ002270,11400,103688.232421875
2022-01-04,SZ002322,8900,104229.5166015625
2022-01-04,SZ002382,6700,103806.35890960693
2022-01-04,SZ002469,16800,103815.43350219727
2022-01-04,SZ002774,13900,103690.82570075989
2022-01-04,SZ300677,2200,103234.033203125
2022-02-07,SH600097,9500,96869.71998214722
2022-02-07,SH600512,30600,97608.34765434265
2022-02-07,SH600643,15700,97616.28799438477
2022-02-07,SH600668,5900,96374.19891357422
2022-02-07,SH600707,16600,97458.31985473633
2022-02-07,SH600746,8100,97412.05244064331
2022-02-07,SH600966,11100,97487.89129257202
2022-02-07,SH688068,1300,118656.41098022461
2022-02-07,SZ000581,5000,97022.73368835449
2022-02-07,SZ000883,22500,97520.99990844727
2022-02-07,SZ000949,20200,97573.60782623291
2022-02-07,SZ002022,8000,97554.86297607422
2022-02-07,SZ002109,18900,97302.2153377533
2022-02-07,SZ002270,13200,97338.60111236572
2022-02-07,SZ002322,9400,97393.58882904053
2022-02-07,SZ002382,7500,97207.49616622925
2022-02-07,SZ002469,17400,97475.27704238892
