execution_date,symbol,shares,market_value_at_open
2022-01-04,SH600097,105500,1179749.210357666
2022-01-04,SH600327,217300,1180557.6581001282
2022-01-04,SH600449,104100,1179534.7967147827
2022-01-04,SH600746,95600,1180450.433731079
2022-01-04,SH601000,485400,1180541.715145111
2022-01-04,SH603886,55800,1179375.6912231445
2022-01-04,SH603898,103400,1179767.0637130737
2022-01-04,SH688399,9200,1178556.9763183594
2022-01-04,SZ000666,137000,1180357.008934021
2022-01-04,SZ000725,250800,1180450.6067276
2022-01-04,SZ000833,177300,1155158.595943451
2022-01-04,SZ000883,232700,1180501.2922286987
2022-01-04,SZ000949,216500,1180342.7517414093
2022-01-04,SZ002022,83300,1179290.1407241821
2022-01-04,SZ002109,200100,1180388.1206989288
2022-01-04,SZ002322,100800,1180487.109375
2022-01-04,SZ002818,109100,1180175.4243850708
2022-01-04,SZ300259,242400,1180411.8015289307
2022-01-04,SZ300677,25100,1177806.4697265625
2022-02-07,SH600089,58600,1086883.3122253418
2022-02-07,SH600097,106700,1087999.9075889587
2022-02-07,SH600449,98000,1088480.613708496
2022-02-07,SH600746,90500,1088369.2278862
2022-02-07,SH601000,449400,1088659.6668720245
2022-02-07,SH603012,193500,1088548.6829280853
2022-02-07,SH603886,56800,1087714.778137207
2022-02-07,SH603898,106200,1088405.3718566895
2022-02-07,SH688399,8900,1081582.9025268555
2022-02-07,SZ000666,133800,1088151.8102645874
2022-02-07,SZ000725,237300,1088326.4760017395
2022-02-07,SZ000833,194800,1088511.8049621582
2022-02-07,SZ000883,251100,1088334.3589782715
2022-02-07,SZ000949,225300,1088283.8536262512
2022-02-07,SZ002022,89200,1087736.7221832275
2022-02-07,SZ002109,211400,1088343.2974815369
2022-02-07,SZ002255,183900,1088635.5751991272
2022-02-07,SZ002322,105000,1087907.109260559
2022-02-07,SZ300259,244600,1088365.7988548279
2022-02-07,SZ300677,25200,1086875.9307861328
2022-03-01,SH600089,56200,1131939.677810669
2022-03-01,SH600097,99300,1133054.2739868164
2022-03-01,SH600449,92400,1133418.6515808105
2022-03-01,SH600746,88500,1133747.2400665283
2022-03-01,SH601000,440700,1133507.309961319
2022-03-01,SH603886,59100,1131908.7009429932
2022-03-01,SH603898,111700,1133210.2929115295
2022-03-01,SH688399,9100,1132687.1475219727
2022-03-01,SZ000666,128800,1132925.8445739746
2022-03-01,SZ000725,258700,1133451.9248008728
2022-03-01,SZ000833,192700,1133756.9011688232
2022-03-01,SZ000883,249200,1133511.169052124
2022-03-01,SZ000949,221700,1133335.1546287537
2022-03-01,SZ002022,88600,1133110.6840133667
2022-03-01,SZ002109,201100,1133400.494480133
2022-03-01,SZ002322,102000,1133548.9482879639
2022-03-01,SZ002759,41700,1133418.1022644043
2022-03-01,SZ002818,106100,1130348.247718811
2022-03-01,SZ300259,254800,1133693.1344985962
2022-03-01,SZ300677,27400,1132511.6622924805
2022-04-01,SH600097,90900,1104162.1550559998
2022-04-01,SH600535,77200,1104849.2412567139
2022-04-01,SH600585,31900,1101558.0703735352
2022-04-01,SH600618,96200,1103759.1646194458
2022-04-01,SH600636,138800,1104866.6032791138
2022-04-01,SH601000,423700,1104729.393172264
2022-04-01,SH601811,121100,1104851.4456748962
2022-04-01,SH603898,117800,1104444.7649002075
2022-04-01,SH688289,38600,1103069.5365905762
2022-04-01,SZ000598,231800,1104639.1578674316
2022-04-01,SZ000883,264900,1104562.4105930328
