model,trade_date,symbol,shares,close,market_value
m4,2024-12-23,SH513100,1668400,8.26,13780984.0
m4,2024-12-24,SH513100,1668400,8.24,13747616.0
m4,2024-12-25,SH513100,1668400,8.335,13906114.000000002
m4,2024-12-26,SH513100,1668400,8.37,13964507.999999998
m4,2024-12-27,SH513100,1668400,8.309999999999999,13864403.999999998
m4,2024-12-30,SH513100,1668400,8.195,13672538.0
m4,2024-12-31,SH513100,1668400,8.145,13589118.0
m4,2025-01-02,SH513100,1668400,8.215,13705906.0
m4,2025-01-03,SH513100,1668400,8.165,13622485.999999998
m4,2025-01-06,SH513100,1668400,8.345,13922798.000000002
m4,2025-01-07,SH513100,1668400,8.295,13839378.0
m4,2025-01-08,SH513100,1668400,8.209999999999999,13697563.999999998
m4,2025-01-09,SH513100,1668400,8.18,13647512.0
m4,2025-01-10,SH513100,1668400,8.149999999999999,13597459.999999998
m4,2025-01-13,SH513100,1668400,7.960000000000001,13280464.000000002
m4,2025-01-14,SH513100,1668400,8.055,13438962.0
m4,2025-01-15,SH513100,1668400,8.004999999999999,13355541.999999998
m4,2025-01-16,SH513100,1668400,8.185,13655854.0
m4,2025-01-17,SH513100,1668400,8.149999999999999,13597459.999999998
m4,2025-01-20,SH513100,1668400,8.23,13730932.0
m4,2025-01-21,SH513100,1668400,8.235,13739273.999999998
m4,2025-01-22,SH513100,1668400,8.285,13822694.0
m4,2025-01-23,SH513100,1668400,8.215,13705906.0
m4,2025-01-24,SH513100,1668400,8.219999999999999,13714247.999999998
m4,2025-01-27,SH513100,1668400,8.075,13472329.999999998
m4,2025-02-05,SH513100,1668400,8.06,13447304.0
m4,2025-02-06,SH513100,1668400,8.135,13572434.0
m4,2025-02-07,SH513100,1668400,8.115,13539066.0
m4,2025-02-10,SH513100,1668400,8.030000000000001,13397252.000000002
m4,2025-02-11,SH513100,1668400,8.035,13405594.0
m4,2025-02-12,SH513100,1668400,8.045,13422278.0
m4,2025-02-13,SH513100,1668400,8.09,13497356.0
m4,2025-02-14,SH513100,1668400,8.145,13589118.0
m4,2025-02-17,SH513100,1668400,8.149999999999999,13597459.999999998
m4,2025-02-18,SH513100,1668400,8.215,13705906.0
m4,2025-02-19,SH513100,1668400,8.18,13647512.0
m4,2025-02-20,SH513100,1668400,8.110000000000001,13530724.000000002
m4,2025-02-21,SH513100,1668400,8.055,13438962.0
m4,2025-02-24,SH513100,1668400,7.95,13263780.0
m4,2025-02-25,SH513100,1668400,7.824999999999999,13055229.999999998
m4,2025-02-26,SH513100,1668400,7.805,13021862.0
m4,2025-02-27,SH513100,1668400,7.8549999999999995,13105282.0
m4,2025-02-28,SH513100,1668400,7.555,12604762.0
m4,2025-03-03,SH513100,1668400,7.71,12863364.0
m4,2025-03-04,SH513100,1668400,7.574999999999999,12638129.999999998
m4,2025-03-05,SH513100,1668400,7.664999999999999,12788285.999999998
m4,2025-03-06,SH513100,1668400,7.67,12796628.0
m4,2025-03-07,SH513100,1668400,7.5,12513000.0
m4,2025-03-10,SH513100,1668400,7.48,12479632.0
m4,2025-03-11,SH513100,1668400,7.14,11912376.0
m4,2025-03-12,SH513100,1668400,7.16,11945744.0
m4,2025-03-13,SH513100,1668400,7.119999999999999,11879007.999999998
m4,2025-03-14,SH513100,1668400,7.1899999999999995,11995796.0
m4,2025-03-17,SH518880,1813300,6.677,12107404.1
m4,2025-03-18,SH518880,1813300,6.727,12198069.100000001
