trade_date,symbol,shares,adjusted_close,market_value
2023-11-29,SZ159509,463000,1.03,476890.0
2023-11-30,SZ159509,463000,1.033,478278.99999999994
2023-12-01,SZ159509,463000,1.022,473186.0
2023-12-04,SH513030,377500,1.246,470365.0
2023-12-05,SH513030,377500,1.237,466967.50000000006
2023-12-06,SH513030,377500,1.255,473762.49999999994
2023-12-07,SH513030,377500,1.252,472630.0
2023-12-08,SH513030,377500,1.259,475272.49999999994
2023-12-11,SH513030,377500,1.275,481312.49999999994
2023-12-12,SH513030,377500,1.272,480180.0
2023-12-13,SH513030,377500,1.274,480935.0
2023-12-14,SH513030,377500,1.292,487730.0
2023-12-15,SH513030,377500,1.281,483577.49999999994
2023-12-18,SH513290,436700,1.11,484737.00000000006
2023-12-19,SH513290,436700,1.093,477313.1
2023-12-20,SH513290,436700,1.112,485610.4
2023-12-21,SH513290,436700,1.08,471636.00000000006
2023-12-22,SH513290,436700,1.086,474256.2
2023-12-25,SH513290,436700,1.123,490414.1
2023-12-26,SH513290,436700,1.125,491287.5
2023-12-27,SH513290,436700,1.14,497837.99999999994
2023-12-28,SH513290,436700,1.146,500458.19999999995
2023-12-29,SH513290,436700,1.141,498274.7
2024-01-02,SH513290,436700,1.137,496527.9
2024-01-03,SH513290,436700,1.163,507882.10000000003
2024-01-04,SH513290,436700,1.151,502641.7
2024-01-05,SH513290,436700,1.155,504388.5
2024-01-08,SH513290,436700,1.156,504825.19999999995
2024-01-09,SH513290,436700,1.188,518799.6
2024-01-10,SH513290,436700,1.182,516179.39999999997
2024-01-11,SH513290,436700,1.182,516179.39999999997
2024-01-12,SH513290,436700,1.163,507882.10000000003
2024-01-15,SH513290,436700,1.177,513995.9
2024-01-16,SH513520,337300,1.459,492120.7
2024-01-17,SH513520,337300,1.444,487061.2
2024-01-18,SH513520,337300,1.447,488073.10000000003
2024-01-19,SH513520,337300,1.46,492458.0
2024-01-22,SH513520,337300,1.552,523489.60000000003
2024-01-23,SH513520,337300,1.628,549124.3999999999
2024-01-24,SH513520,337300,1.526,514719.8
2024-01-25,SH513520,337300,1.403,473231.9
2024-01-26,SZ159509,399800,1.17,467766.0
2024-01-29,SZ159509,399800,1.185,473763.0
2024-01-30,SZ159509,399800,1.207,482558.60000000003
2024-01-31,SZ159509,399800,1.172,468565.6
2024-02-01,SZ159509,399800,1.157,462568.60000000003
2024-02-02,SZ159509,399800,1.19,475762.0
2024-02-05,SZ159509,399800,1.212,484557.6
2024-02-06,SZ159509,399800,1.23,491754.0
2024-02-07,SZ159509,399800,1.218,486956.39999999997
2024-02-08,SZ159509,399800,1.259,503348.19999999995
2024-02-19,SZ159509,399800,1.259,503348.19999999995
2024-02-20,SZ159509,399800,1.256,502148.8
2024-02-21,SZ159509,399800,1.234,493353.2
2024-02-22,SZ159509,399800,1.279,511344.19999999995
2024-02-23,SZ159930,345900,1.488,514699.2
2024-02-26,SZ159930,345900,1.457,503976.30000000005
2024-02-27,SZ159930,345900,1.46,505014.0
2024-02-28,SZ159930,345900,1.46,505014.0
2024-02-29,SZ159930,345900,1.459,504668.10000000003
2024-03-01,SZ159930,345900,1.461,505359.9
2024-03-04,SZ159509,356500,1.439,513003.5
2024-03-05,SH512720,497800,1.0346721059788568,515059.7743562749
2024-03-06,SZ159967,302900,1.684,510083.6
2024-03-07,SZ159967,302900,1.656,501602.39999999997
2024-03-08,SZ159997,580900,0.884,513515.6
2024-03-11,SZ159516,604700,0.863,521856.1
2024-03-12,SH588200,515100,1.015,522826.49999999994
2024-03-13,SH560980,875000,0.601,525875.0
2024-03-14,SZ159851,536000,0.967,518312.0
2024-03-15,SZ159881,545400,0.999,544854.6
2024-03-18,SH512480,367400,1.526,560652.4
2024-03-19,SH512480,367400,1.506,553304.4
2024-03-20,SH561160,1155500,0.481,555795.5
2024-03-21,SH515980,645100,0.854,550915.4
2024-03-22,SZ159652,624200,0.857,534939.4
2024-03-25,SZ159985,245500,2.134,523897.0
2024-03-26,SZ159985,245500,2.139,525124.5
2024-03-27,SZ159518,500100,1.052,526105.2000000001
2024-03-28,SZ159518,500100,1.069,534606.9
2024-03-29,SZ159518,500100,1.093,546609.2999999999
2024-04-01,SZ159518,500100,1.098,549109.8
2024-04-02,SZ159518,500100,1.115,557611.5
2024-04-03,SH517520,458200,1.265,579623.0
2024-04-08,SH561330,552900,1.053,582203.7
2024-04-09,SZ159518,517800,1.11,574758.0
2024-04-10,SZ159518,517800,1.108,573722.4
2024-04-11,SZ159518,517800,1.109,574240.2
2024-04-12,SZ159518,517800,1.107,573204.6
2024-04-15,SH518880,104600,5.417,566618.2
2024-04-16,SH518880,104600,5.452,570279.2
2024-04-17,SH518880,104600,5.461,571220.6
2024-04-18,SH518880,104600,5.445,569547.0
2024-04-19,SH518880,104600,5.471,572266.6
2024-04-22,SH518880,104600,5.364,561074.4
2024-04-23,SH518880,104600,5.232,547267.2000000001
2024-04-24,SZ159980,325600,1.717,559055.2000000001
2024-04-25,SZ159980,325600,1.733,564264.8
2024-04-26,SZ159980,325600,1.755,571428.0
2024-04-29,SZ159980,325600,1.745,568172.0
2024-04-30,SZ159980,325600,1.763,574032.7999999999
2024-05-06,SZ159980,325600,1.769,575986.4
2024-05-07,SZ159980,325600,1.753,570776.7999999999
2024-05-08,SZ159691,492400,1.1529725746268655,567723.6957462686
2024-05-09,SZ159691,492400,1.1782127798507462,580151.9727985074
2024-05-10,SZ159691,492400,1.2115298507462686,596557.2985074627
2024-05-13,SZ159792,958900,0.643,616572.7000000001
2024-05-14,SZ159636,726900,0.863,627314.7
2024-05-15,SH513180,1146400,0.547,627080.8
2024-05-16,SZ159985,276600,2.298,635626.8
2024-05-17,SZ159985,276600,2.325,643095.0
2024-05-20,SH513920,518600,1.23,637878.0
2024-05-21,SH513920,518600,1.214,629580.4
2024-05-22,SH513190,541000,1.165,630265.0
2024-05-23,SH513630,525800,1.182,621495.6
2024-05-24,SZ159509,433800,1.41,611658.0
2024-05-27,SZ159509,433800,1.464,635083.2
2024-05-28,SZ159509,433800,1.481,642457.8
2024-05-29,SZ159509,433800,1.476,640288.8
2024-05-30,SZ159509,433800,1.453,630311.4
2024-05-31,SZ159509,433800,1.448,628142.4
2024-06-03,SZ159509,433800,1.474,639421.2
2024-06-04,SZ159509,433800,1.464,635083.2
2024-06-05,SZ159509,433800,1.477,640722.6000000001
2024-06-06,SZ159509,433800,1.537,666750.6
