family,split,train_blocks,test_blocks,selected_trial,is_sharpe,oos_sharpe,oos_percentile,logit,below_oos_median
dual-ma,34,0;4;6;7,1;2;3;5,dual-ma__fast-10-slow-50,0.7499161595035307,-1.0966369948099766,0.08333333333333333,-2.3978952727983707,True
dual-ma,35,0;5;6;7,1;2;3;4,dual-ma__fast-10-slow-50,0.7952377089435781,-0.9314365601757733,0.08333333333333333,-2.3978952727983707,True
dual-ma,36,1;2;3;4,0;5;6;7,dual-ma__fast-50-slow-100,-0.04366090626413229,0.44482979272689727,0.5833333333333334,0.336472236621213,False
dual-ma,37,1;2;3;5,0;4;6;7,dual-ma__fast-100-slow-200,-0.18716912568917318,0.4756121988468733,0.25,-1.0986122886681098,True
dual-ma,38,1;2;3;6,0;4;5;7,dual-ma__fast-20-slow-100,0.6793328474547905,-0.0663483945391209,0.25,-1.0986122886681098,True
dual-ma,39,1;2;3;7,0;4;5;6,dual-ma__fast-100-slow-200,0.11024526508643567,0.39883532503009006,0.25,-1.0986122886681098,True
dual-ma,40,1;2;4;5,0;3;6;7,dual-ma__fast-50-slow-100,-0.05218226362076913,0.5044574052513673,0.5833333333333334,0.336472236621213,False
dual-ma,41,1;2;4;6,0;3;5;7,dual-ma__fast-20-slow-100,0.7277754543943569,-0.20138206093050964,0.25,-1.0986122886681098,True
dual-ma,42,1;2;4;7,0;3;5;6,dual-ma__fast-100-slow-200,0.12863163475251355,0.387271559097046,0.25,-1.0986122886681098,True
dual-ma,43,1;2;5;6,0;3;4;7,dual-ma__fast-20-slow-100,0.5855765572284266,-0.09233240051109408,0.25,-1.0986122886681098,True
dual-ma,44,1;2;5;7,0;3;4;6,dual-ma__fast-100-slow-200,0.09552335202358386,0.5198591523314919,0.4166666666666667,-0.33647223662121273,True
dual-ma,45,1;2;6;7,0;3;4;5,dual-ma__fast-10-slow-50,0.6535427539483284,-0.6698421405026282,0.08333333333333333,-2.3978952727983707,True
dual-ma,46,1;3;4;5,0;2;6;7,dual-ma__fast-50-slow-200,0.09324533504807415,0.4247921951530332,0.5833333333333334,0.336472236621213,False
dual-ma,47,1;3;4;6,0;2;5;7,dual-ma__fast-50-slow-200,1.0466924439006056,-0.13219237049740332,0.4166666666666667,-0.33647223662121273,True
dual-ma,48,1;3;4;7,0;2;5;6,dual-ma__fast-50-slow-200,0.2753015852713205,0.32667562504464565,0.4166666666666667,-0.33647223662121273,True
dual-ma,49,1;3;5;6,0;2;4;7,dual-ma__fast-50-slow-200,0.8027165681531077,-0.08617998431909477,0.4166666666666667,-0.33647223662121273,True
dual-ma,50,1;3;5;7,0;2;4;6,dual-ma__fast-50-slow-200,0.1970354407603351,0.4600773194161147,0.4166666666666667,-0.33647223662121273,True
dual-ma,51,1;3;6;7,0;2;4;5,dual-ma__fast-50-slow-200,0.760719371277151,-0.46704970579247934,0.08333333333333333,-2.3978952727983707,True
