symbol,entry_date,exit_date,status,entry_kind,entry_score,entry_gross,exit_gross,gross_pnl,total_costs,net_pnl,net_return,holding_days,had_partial_exit,partial_exit_count,exit_reason
SZ002414,2020-01-13,2020-03-06,closed,right,202.89408252344722,124809.60915527343,184195.18606917793,59385.5769139045,276.89662463651337,59108.680289267984,0.4725424211087155,53.0,True,1,exit_resonance
SZ000063,2020-01-20,2020-02-04,closed,right,206.58960129118705,127716.6025177002,120509.60375074357,-7206.998766956633,194.9774656312767,-7401.976232587909,-0.057867913394178086,15.0,False,0,exit_resonance
SZ002242,2020-01-20,2020-02-25,closed,right,203.42780508701162,130560.00305175781,132508.74079536455,1948.7377436067327,211.42936394950124,1737.3083796572314,0.013285075704719118,36.0,True,1,exit_resonance
SZ002439,2020-01-20,2020-02-04,closed,right,206.0901532244954,131246.80778198244,123142.65291347202,-8104.154868510421,199.45949112210835,-8303.61435963253,-0.06317116896427492,15.0,False,0,exit_hard_stop
SZ002603,2020-01-20,2020-02-14,closed,right,203.79096286985708,130566.39613952638,153163.41684271093,22597.02070318455,238.28236073738213,22358.738342447166,0.1709322525677251,25.0,True,1,exit_resonance
SH600563,2020-02-24,2020-02-28,closed,right,212.364117612318,127724.00122070312,113311.33504931933,-14412.666171383797,185.62193593032603,-14598.288107314123,-0.11412970929824094,4.0,False,0,exit_resonance
SH600718,2020-02-24,2020-03-09,closed,right,207.02067362528746,129511.20451278688,126685.66005756508,-2825.544455221796,203.54471942867065,-3029.0891746504667,-0.02335192561046228,14.0,True,1,exit_resonance
SZ000887,2020-02-24,2020-03-02,closed,right,206.8112381634288,129976.806149292,124603.00167391232,-5373.804475379671,200.97694402087362,-5574.781419400545,-0.04282436900469015,7.0,True,1,exit_hard_stop
SZ002212,2020-02-24,2020-03-10,closed,right,215.0408640140283,128242.80971984862,134643.9478924136,6401.13817256497,213.50997517609224,6187.628197388877,0.04816912248520952,15.0,False,0,exit_resonance
SZ002230,2020-02-24,2020-03-02,closed,right,206.92254716879398,130175.20520324708,123528.18876060126,-6647.016442645821,199.63920694975576,-6846.655649595577,-0.05251515873763213,7.0,False,0,exit_hard_stop
SZ002607,2020-03-02,2020-03-17,closed,right,200.90293551805487,128112.2,134118.5116283531,6006.311628353098,212.787725116859,5793.523903236239,0.0451472780628389,15.0,True,1,exit_resonance
SZ000400,2020-03-16,2020-03-17,closed,right,211.65505103371223,129180.80301361083,115320.73129838695,-13860.07171522388,188.67119159198626,-14048.742906815865,-0.10859395536022726,1.0,False,0,exit_hard_stop
SZ300002,2020-03-16,2020-03-17,closed,right,209.06870615261874,128779.2,121357.68190115318,-7421.51809884682,196.39874647149912,-7617.916845318319,-0.05906479147495897,1.0,False,0,exit_hard_stop
SH603233,2020-04-07,2020-05-12,closed,right,203.46312756118377,123503.79999999999,123328.27117401575,-175.52882598423457,197.37789252622048,-372.90671851045505,-0.0030145769414939854,35.0,True,1,exit_resonance
SZ002311,2020-04-07,2020-04-22,closed,right,202.24234972071466,124657.20898742677,128729.377854136,4072.168866709224,204.74535390660486,3867.423512802619,0.030973594264192737,15.0,True,1,exit_resonance
SZ002352,2020-04-07,2020-04-28,closed,right,204.1125672015918,125013.19484252931,123195.70579471573,-1817.4890478135785,197.65837598588922,-2015.1474237994678,-0.016094031563563243,21.0,True,1,exit_resonance
SZ002013,2020-04-20,2020-05-13,closed,right,201.88840287545668,126703.21309204103,125546.33412037474,-1156.8789716662868,201.22119828409944,-1358.1001699503863,-0.0107017550454021,23.0,True,1,exit_resonance
SH600183,2020-05-06,2020-05-19,closed,right,201.22885574113073,125782.8,119240.1605247072,-6542.639475292803,192.74704868211936,-6735.386523974922,-0.05346582477131131,13.0,True,1,exit_hard_stop
