symbol,net_pnl,return_contribution,holding_days,average_weight_when_held,maximum_weight,average_portfolio_weight,positive_contribution_share
SH560280,-6689.119899999979,-0.014534634222735801,10,0.3315870347429867,0.33484568388812,0.0011808655083439695,0.0
SZ159943,-6844.080899999992,-0.025165460898392174,15,0.331325892716565,0.33407383310039085,0.0017699032730585736,0.0
SZ159770,-6996.631600000006,-0.017866912672392633,5,0.3243220077788052,0.3289172427911957,0.0005774964525975876,0.0
SH515790,-7619.016199999996,-0.02020632137379794,30,0.33017966377028585,0.33958466337063214,0.0035275605103663016,0.0
SH516360,-7954.638299999996,-0.02123667714952273,5,0.32291502925997373,0.3270834964540047,0.0005749911489671898,0.0
SZ159992,-8121.6325000000015,-0.02258334634465891,20,0.3269638795149981,0.3328010071565238,0.0023288025606481347,0.0
SZ159859,-9779.864400000008,-0.024768639709049432,15,0.3286010318502543,0.33445382791505723,0.0017553473923624698,0.0
SZ159323,-9925.664400000007,-0.01960242657504345,5,0.3321793466528228,0.333793145964176,0.0005914874406211232,0.0
SZ159608,-10101.95190000001,-0.02612909875962842,5,0.31488260716733674,0.32023742826577256,0.0005606884030757421,0.0
SH520600,-10166.556799999993,-0.020092865442912878,5,0.3318011226979933,0.33290598892558626,0.0005908139649180792,0.0
SH516820,-10273.686999999993,-0.02769869125210942,10,0.3315223981400066,0.3337910567137335,0.0011806353210114195,0.0
SZ159786,-11048.599999999993,-0.02943656861128405,10,0.33091182244817224,0.3382638825419081,0.0011784609061544595,0.0
SZ159869,-12014.994300000006,-0.02890334369259807,30,0.33266600678829017,0.3461569906157296,0.003554124004148399,0.0
SH512200,-12245.94440000001,-0.03447610288961202,25,0.3338380192380503,0.3431781541629629,0.002972204587233354,0.0
SH513080,-12350.48639999999,-0.02422365718754694,5,0.32486733028988696,0.3276403221253539,0.0005784674684648984,0.0
SZ159766,-13142.111499999992,-0.022125437107024408,15,0.3136242570302054,0.33450976878218,0.001675343253366482,0.0
SH517520,-13907.283399999986,-0.033065597603276604,15,0.32462831931557085,0.33411107159876224,0.0017341256373695022,0.0
SZ159837,-13914.369800000004,-0.03708240099672853,25,0.32798060439655485,0.3350418907267584,0.002920055238573316,0.0
