execution_date,symbol,shares,market_value_at_open
2022-09-01,SH600455,130300,2698266.3414001465
2022-09-01,SH600768,267800,2699658.6866378784
2022-09-01,SH603709,164800,2699208.544921875
2022-09-01,SH603729,187600,2699791.279220581
2022-09-01,SH688004,122700,2699700.2626419067
2022-09-01,SH688081,203000,2699692.310333252
2022-09-01,SH688096,300000,2700144.1955566406
2022-09-01,SH688215,86000,2694693.458557129
2022-09-01,SZ002719,344300,2699590.657567978
2022-09-01,SZ300478,254300,2698045.791530609
2022-10-10,SH600455,128700,2430443.3155059814
2022-10-10,SH600768,272600,2431508.049964905
2022-10-10,SH603709,163100,2431002.656650543
2022-10-10,SH603729,191800,2431680.5446624756
2022-10-10,SH688004,120700,2431388.288497925
2022-10-10,SH688081,209300,2431375.545692444
2022-10-10,SH688096,298300,2431623.952293396
2022-10-10,SH688215,86200,2431188.129043579
2022-10-10,SZ002719,342900,2431439.015007019
2022-10-10,SZ300899,123700,2430738.9280319214
2022-11-01,SH600455,126300,2600958.826446533
2022-11-01,SH600768,284800,2600555.1208496094
2022-11-01,SH603709,171900,2600024.549674988
2022-11-01,SH603729,201600,2600772.7752685547
2022-11-01,SH688004,112100,2600630.925178528
2022-11-01,SH688081,200200,2601117.844581604
2022-11-01,SH688215,82100,2598143.169403076
2022-11-01,SH688701,265800,2600426.3414382935
2022-11-01,SZ002719,359000,2600561.7480278015
2022-11-01,SZ300478,265400,2598531.7502975464
2022-12-01,SH600455,127800,2721810.8276367188
2022-12-01,SH600768,276900,2721934.901046753
2022-12-01,SH603709,164900,2722661.330986023
2022-12-01,SH603729,194300,2722700.9795188904
2022-12-01,SH688004,121400,2722311.317062378
2022-12-01,SH688215,84600,2719689.3951416016
2022-12-01,SH688701,284900,2722397.008228302
2022-12-01,SZ002719,347600,2722698.3213424683
2022-12-01,SZ300478,262700,2721768.8265800476
2022-12-01,SZ300899,126300,2721207.465362549
2023-01-03,SH600768,307000,2824053.5850524902
2023-01-03,SH603709,183300,2823619.329357147
2023-01-03,SH603729,212900,2823271.095561981
2023-01-03,SH688004,136400,2822787.551879883
2023-01-03,SH688081,239700,2823222.6888656616
2023-01-03,SH688215,93200,2821316.0316467285
2023-01-03,SH688701,345000,2823855.414390564
2023-01-03,SZ002816,223900,2823377.0013809204
2023-01-03,SZ300478,306300,2823687.0589256287
2023-01-03,SZ300899,144500,2819822.0500946045
2023-02-01,SH603709,188700,3165613.028526306
2023-02-01,SH603729,226300,3165938.2431030273
2023-02-01,SH688004,135500,3166851.432800293
2023-02-01,SH688067,156800,3166299.609375
2023-02-01,SH688096,354100,3166283.992290497
2023-02-01,SH688215,93400,3165512.6403808594
2023-02-01,SH688565,358200,3166548.8605499268
2023-02-01,SH688701,369000,3166463.725090027
2023-02-01,SZ300478,318200,3166427.0824432373
2023-02-01,SZ300899,145800,3155803.246307373
2023-03-01,SH603729,235900,3342682.0956230164
2023-03-01,SH688004,135500,3834770.8492279053
2023-03-01,SH688067,156600,3341826.9985198975
2023-03-01,SH688096,358300,3343290.5835151672
2023-03-01,SH688215,95600,3342970.9259033203
2023-03-01,SH688565,365400,3343197.9892730713
2023-03-01,SH688701,377000,3343891.444206238
2023-03-01,SZ002816,215500,3083097.496032715
2023-03-01,SZ300478,318200,3208264.3909454346
2023-03-01,SZ300899,145800,3249103.755569458
2023-04-03,SH603030,1485200,3295586.0056877136
2023-04-03,SH603709,197100,3295046.4529037476
2023-04-03,SH603729,223200,3294747.08404541
2023-04-03,SH688215,97800,3292821.3592529297
2023-04-03,SH688565,392800,3295455.0300598145
2023-04-03,SH688701,381300,3295267.039203644
2023-04-03,SZ002652,1243500,3295445.590853691
2023-04-03,SZ002816,252100,3295234.9477767944
2023-04-03,SZ002856,323400,3295231.205177307
2023-04-03,SZ300478,335900,3278961.648464203
2023-05-04,SH600122,3292100,2797991.134262085
2023-05-04,SH600290,1811100,3148105.096399784
2023-05-04,SH600671,412500,3147727.72192955
2023-05-04,SH603030,1485200,3443498.58379364
2023-05-04,SH603389,629100,3148063.0142211914
2023-05-04,SH603709,193400,3146952.6638031006
2023-05-04,SH688565,402600,3148101.891517639
2023-05-04,SH688701,365900,3147603.440475464
2023-05-04,SZ300169,785000,3147862.1578216553
2023-05-04,SZ300417,3300,31979.95376586914
2023-05-04,SZ300478,328500,3147943.5052871704
2023-06-01,SH600077,1931900,1177787.0109915733
2023-06-01,SH600122,3292100,1250998.0824142694
2023-06-01,SH600290,2322800,2879964.386987686
2023-06-01,SH600589,1645800,2879976.76012516
2023-06-01,SH600671,385500,2879861.387014389
2023-06-01,SH603030,1539800,2879925.8370399475
2023-06-01,SH688565,353100,2879627.05078125
2023-06-01,SH688701,313400,2879921.1095809937
2023-06-01,SZ000691,701000,2879925.4660606384
2023-06-01,SZ002652,1120400,2880037.5025749207
2023-06-01,SZ300478,306900,2879105.1567077637
